line;met;real;feet;feet_number;meter_quality;line_n;title;author;meter_nuber
Who countest the steps of the Sun:;--+--+--+;-+--+--+;Who count|est the steps |of the Sun:;trimeter;anapestic;2;Ah! Sun-flower(1794);William Blake;
Seeking after that sweet golden clime;--+--+--+--+;+-+--++-+|--+--+--+;Seeking af|ter that sweet |golden clime;trimeter;anapestic;3;Ah! Sun-flower(1794);William Blake;
"Where the traveller's journey is done;";--+--+--+;--+--+--+;"Where the trav|eller's journ|ey is done;";trimeter;anapestic;4;Ah! Sun-flower(1794);William Blake;
Where the Youth pined away with desire,;--+--+--+|--+--+--+-;--++-+--+-|--+--+--+-;Where the Youth |pined away |with desire,;trimeter;anapestic;5;Ah! Sun-flower(1794);William Blake;
And the pale Virgin shrouded in snow,;--+--+--+;--++-+--+|--+--+--+;And the pale |Virgin shrou|ded in snow,;trimeter;anapestic;6;Ah! Sun-flower(1794);William Blake;
Arise from their graves and aspire,;--+--+--+|--+--+--+-;-+--+--+-;Arise |from their graves |and aspire,;trimeter;anapestic;7;Ah! Sun-flower(1794);William Blake;
Where my Sun-flower wishes to go.;--+--+--+;--+--+--+;Where my Sun|-flower wish|es to go.;trimeter;anapestic;8;Ah! Sun-flower(1794);William Blake;
 One day I wrote her name upon the strand,;-+-+-+-+-+;++-+-+-+-+|-+-+-+-+-+; One day |I wrote |her name |upon |the strand,;pentameter;iambic;1;Amoretti 75(1595);Edmund Spenser;
But came the waves and washèd it away:;-+-+-+-+-+;-+-+-+-+-+;But came |the waves |and wash|èd it |away:;pentameter;iambic;2;Amoretti 75(1595);Edmund Spenser;
Agayne I wrote it with a second hand,;-+-+-+-+-+;-+-+-+-+-+;Agayne |I wrote |it with |a sec|ond hand,;pentameter;iambic;3;Amoretti 75(1595);Edmund Spenser;
But came the tyde, and made my paynes his pray.;-+-+-+-+-+;-+-+-+-+-+;But came |the tyde, |and made |my paynes |his pray.;pentameter;iambic;4;Amoretti 75(1595);Edmund Spenser;
Vayne man, sayd she, that doest in vaine assay,;-+-+-+-+-+;++-+-+-+-+;Vayne man, |sayd she, |that doest |in vaine |assay,;pentameter;iambic;5;Amoretti 75(1595);Edmund Spenser;
A mortall thing so to immortalize.;-+-+-+-+-+;-+-+-+-+-+;A mort|all thing |so to |immort|alize.;pentameter;iambic;6;Amoretti 75(1595);Edmund Spenser;
For I my selve shall lyke to this decay,;-+-+-+-+-+;-+-+-+-+-+;For I |my selve |shall lyke |to this |decay,;pentameter;iambic;7;Amoretti 75(1595);Edmund Spenser;
And eek my name bee wyped out lykewize.;-+-+-+-+-+;-+-+-+-+++;And eek |my name |bee wy|ped out |lykewize.;pentameter;iambic;8;Amoretti 75(1595);Edmund Spenser;
Not so, (quod I) let baser things devize;-+-+-+-+-+;-+-+-+-+-+;Not so, |(quod I) |let base|r things |devize;pentameter;iambic;9;Amoretti 75(1595);Edmund Spenser;
To dy in dust, but you shall live by fame:;-+-+-+-+-+;-+-+-+-+-+;To dy |in dust, |but you |shall live |by fame:;pentameter;iambic;10;Amoretti 75(1595);Edmund Spenser;
My verse your vertues rare shall eternize,;-+-+-+-+-+;-+-+-+-+-+;My verse |your ver|tues rare |shall e|ternize,;pentameter;iambic;11;Amoretti 75(1595);Edmund Spenser;
And in the hevens wryte your glorrious name,;-+-+-+-+-+;-+-+-+-+--+;And in |the hev|ens wryte |your glor|rious name,;pentameter;iambic;12;Amoretti 75(1595);Edmund Spenser;
Where whenas death shall all the world subdew,;-+-+-+-+-+;-+-+-+-+-+;Where when|as death |shall all |the world |subdew,;pentameter;iambic;13;Amoretti 75(1595);Edmund Spenser;
Our love shall live, and later life renew.;-+-+-+-+-+;-+-+-+-+-+;Our love |shall live, |and la|ter life |renew.;pentameter;iambic;14;Amoretti 75(1595);Edmund Spenser;
True Ease in Writing comes from Art, not Chance,;-+-+-+-+-+;++-+-+-+-+|++-+-+-+++;True Ease |in Writ|ing comes |from Art, |not Chance,;pentameter;iambic;362;An Essay on Criticism (ll. 362-73)(1711);Alexander Pope;
As those move easiest who have learn'd to dance.;-+-+-+-+-+;-+++--+-+-+;As those |move eas|iest who |have learn'd |to dance.;pentameter;iambic;363;An Essay on Criticism (ll. 362-73)(1711);Alexander Pope;
'Tis not enough no Harshness gives Offence,;-+-+-+-+-+;-+-+-+-+-+|-+-+++-+-+;'Tis not |enough |no Harsh|ness gives |Offence,;pentameter;iambic;364;An Essay on Criticism (ll. 362-73)(1711);Alexander Pope;
The Sound must seem an Echo to the Sense.;-+-+-+-+-+;-+-+-+-+-+;The Sound |must seem |an Ech|o to |the Sense.;pentameter;iambic;365;An Essay on Criticism (ll. 362-73)(1711);Alexander Pope;
Soft is the Strain when Zephyr gently blows,;-+-+-+-+-+;+--+-+-+-+;Soft is |the Strain |when Zeph|yr gen|tly blows,;pentameter;iambic;366;An Essay on Criticism (ll. 362-73)(1711);Alexander Pope;
"And the smooth Stream in smoother Numbers flows;";-+-+-+-+-+;--++-+-+-+;"And the |smooth Stream |in smooth|er Num|bers flows;";pentameter;iambic;367;An Essay on Criticism (ll. 362-73)(1711);Alexander Pope;
But when loud Surges lash the sounding Shore,;-+-+-+-+-+;--++-+-+-+;But when |loud Surg|es lash |the sound|ing Shore,;pentameter;iambic;368;An Essay on Criticism (ll. 362-73)(1711);Alexander Pope;
The hoarse, rough Verse shou'd like the Torrent roar.;-+-+-+-+-+;-+++-+-+-+;The hoarse, |rough Verse |shou'd like |the Tor|rent roar.;pentameter;iambic;369;An Essay on Criticism (ll. 362-73)(1711);Alexander Pope;
When Ajax strives some Rock's vast Weight to throw,;-+-+-+-+-+;-+-+++++-+;When A|jax strives |some Rock's |vast Weight |to throw,;pentameter;iambic;370;An Essay on Criticism (ll. 362-73)(1711);Alexander Pope;
"The Line too labours, and the Words move slow;";-+-+-+-+-+;-+++---+++;"The Line |too la|bours, and |the Words |move slow;";pentameter;iambic;371;An Essay on Criticism (ll. 362-73)(1711);Alexander Pope;
Not so, when swift Camilla scours the Plain,;-+-+-+-+-+;-+-+-+-+-+;Not so, |when swift |Camil|la scours |the Plain,;pentameter;iambic;372;An Essay on Criticism (ll. 362-73)(1711);Alexander Pope;
Flies o'er th'unbending Corn, and skims along the Main.;-+-+-+-+-+-+;+--+-+-+-+-+;Flies o'er |th'unbend|ing Corn, |and skims |along |the Main.;hexameter;iambic;373;An Essay on Criticism (ll. 362-73)(1711);Alexander Pope;
What passing-bells for these who die as cattle?;-+-+-+-+-+;-+-+-+-+-+-;What pass|ing-bells |for these |who die |as cattle?;pentameter;iambic;1;Anthem for Doomed Youth(1917);Wilfred Owen;
Only the monstrous anger of the guns.;-+-+-+-+-+;+--+-+-+-+;Only |the mon|strous an|ger of |the guns.;pentameter;iambic;2;Anthem for Doomed Youth(1917);Wilfred Owen;
Only the stuttering rifles' rapid rattle;-+-+-+-+-+;+--+--+-+-+-;Only |the stut|tering ri|fles' ra|pid rattle;pentameter;iambic;3;Anthem for Doomed Youth(1917);Wilfred Owen;
Can patter out their hasty orisons.;-+-+-+-+-+;-+-+-+-+-+;Can pat|ter out |their hast|y or|isons.;pentameter;iambic;4;Anthem for Doomed Youth(1917);Wilfred Owen;
"No mockeries now for them; no prayers nor bells;";-+-+-+-+-+;-+--+-+-+-+|++--+-+++-+;"No mock|eries now |for them; |no prayers |nor bells;";pentameter;iambic;5;Anthem for Doomed Youth(1917);Wilfred Owen;
Nor any voice of mourning save the choirs,--;-+-+-+-+-+;-+-+-+-+-+-;Nor an|y voice |of mourn|ing save |the choirs,--;pentameter;iambic;6;Anthem for Doomed Youth(1917);Wilfred Owen;
"The shrill, demented choirs of wailing shells;";-+-+-+-+-+;-+-+-+--+-+;"The shrill, |dement|ed cho|irs of wail|ing shells;";pentameter;iambic;7;Anthem for Doomed Youth(1917);Wilfred Owen;
And bugles calling for them from sad shires.;-+-+-+-+-+;-+-+-+--++-;And bu|gles call|ing for |them from |sad shires.;pentameter;iambic;8;Anthem for Doomed Youth(1917);Wilfred Owen;
What candles may be held to speed them all?;-+-+-+-+-+;-+-+-+-+-+|++---+-+-+;What can|dles may |be held |to speed |them all?;pentameter;iambic;9;Anthem for Doomed Youth(1917);Wilfred Owen;
Not in the hands of boys but in their eyes;-+-+-+-+-+;+--+-+-+-+;Not in |the hands |of boys |but in |their eyes;pentameter;iambic;10;Anthem for Doomed Youth(1917);Wilfred Owen;
Shall shine the holy glimmers of goodbyes.;-+-+-+-+-+;-+-+-+-+-+;Shall shine |the ho|ly glim|mers of |goodbyes.;pentameter;iambic;11;Anthem for Doomed Youth(1917);Wilfred Owen;
"The pallor of girls' brows shall be their pall;";-+-+-+-+-+;-+--++-+-+;"The pal|lor of |girls' brows |shall be |their pall;";pentameter;iambic;12;Anthem for Doomed Youth(1917);Wilfred Owen;
Their flowers the tenderness of patient minds,;-+-+-+-+-+;-+--+-+-+-+;Their flow|ers the ten|derness |of pa|tient minds,;pentameter;iambic;13;Anthem for Doomed Youth(1917);Wilfred Owen;
And each slow dusk a drawing-down of blinds.;-+-+-+-+-+;-+++-+-+-+;And each |slow dusk |a draw|ing-down |of blinds.;pentameter;iambic;14;Anthem for Doomed Youth(1917);Wilfred Owen;
With how sad steps, O Moone, thou climb'st the skies,;-+-+-+-+-+;-+++-+-+-+|-+++++-+-+;With how |sad steps, |O Moone, |thou climb'st |the skies,;pentameter;iambic;1;Astrophil and Stella (31)(1591);Sir Philip Sidney;
How silently, and with how wanne a face,;-+-+-+-+-+;-+-+--++-+|++----++-+;How si|lently, |and with |how wanne |a face,;pentameter;iambic;2;Astrophil and Stella (31)(1591);Sir Philip Sidney;
What, may it be that even in heavenly place;-+-+-+-+-+-+;+--+-+--+--+;What, may |it be |that e|ven in heav|enly place;pentameter;iambic;3;Astrophil and Stella (31)(1591);Sir Philip Sidney;
That busie archer his sharpe arrowes tries?;-+-+-+-+-+;-+-+--++-+;That bus|ie arch|er his |sharpe ar|rowes tries?;pentameter;iambic;4;Astrophil and Stella (31)(1591);Sir Philip Sidney;
Sure, if that long with Love acquainted eyes;-+-+-+-+-+;+--+-+-+-+;Sure, if |that long |with Love |acquaint|ed eyes;pentameter;iambic;5;Astrophil and Stella (31)(1591);Sir Philip Sidney;
"Can judge of Love, thou feel'st a Lover's case;";-+-+-+-+-+;-+-+++-+-+;"Can judge |of Love, |thou feel'st |a Lov|er's case;";pentameter;iambic;6;Astrophil and Stella (31)(1591);Sir Philip Sidney;
I reade it in thy lookes, thy languisht grace,;-+-+-+-+-+;-+-+-+-+-+;I reade |it in |thy lookes, |thy lan|guisht grace,;pentameter;iambic;7;Astrophil and Stella (31)(1591);Sir Philip Sidney;
To me that feele the like, thy state descries.;-+-+-+-+-+;-+-+-+-+-+;To me |that feele |the like, |thy state |descries.;pentameter;iambic;8;Astrophil and Stella (31)(1591);Sir Philip Sidney;
Then ev'n of fellowship, O Moone, tell me;-+-+-+-+-+;-+-+---+++|-+-+-+-+++;Then ev'n |of fel|lowship, |O Moone, |tell me;pentameter;iambic;9;Astrophil and Stella (31)(1591);Sir Philip Sidney;
Is constant Love deem'd there but want of wit?;-+-+-+-+-+;-+-+++-+-+;Is con|stant Love |deem'd there |but want |of wit?;pentameter;iambic;10;Astrophil and Stella (31)(1591);Sir Philip Sidney;
Are Beauties there as proud as here they be?;-+-+-+-+-+;-+-+-+-+-+;Are Beau|ties there |as proud |as here |they be?;pentameter;iambic;11;Astrophil and Stella (31)(1591);Sir Philip Sidney;
Do they above love to be lov'd, and yet;-+-+-+-+-+;-+-++--+-+;Do they |above |love to |be lov'd, |and yet;pentameter;iambic;12;Astrophil and Stella (31)(1591);Sir Philip Sidney;
Those Lovers scorne whom that Love doth Possesse?;-+-+-+-+-+;-+-+-++--+;Those Lov|ers scorne |whom that |Love doth |Possesse?;pentameter;iambic;13;Astrophil and Stella (31)(1591);Sir Philip Sidney;
Do they call Vertue there ungratefulnesse?;-+-+-+-+-+;-+-+-+-+-+;Do they |call Ver|tue there |ungrate|fulnesse?;pentameter;iambic;14;Astrophil and Stella (31)(1591);Sir Philip Sidney;
